@T,table
Created,2022-09-20 10:59
Author,HortonMachine library
@H,timestamp,value_14,value_25,value_31,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_43,value_45,value_58,value_73,value_74,value_79,value_84,value_88,value_89,value_93,value_95,value_100,value_101,value_104
ID,,14,25,31,33,34,35,36,37,38,39,40,41,43,45,58,73,74,79,84,88,89,93,95,100,101,104
Type,Date,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-02-03 00:00,0.6,2.4,0.6,1.6,2.0,1.8,1.2,1.6,1.4,0.8,2.2,0.4,0.4,0.0,2.0,0.8,0.4,0.2,0.2,0.0,0.0,0.2,1.6,-9999,-9999,-9999
,2017-02-03 12:00,1.2,2.0,1.2,1.8,1.8,1.8,2.0,1.8,1.6,1.2,1.8,0.8,0.6,0.0,2.0,1.0,1.2,1.2,0.4,0.8,0.0,1.4,2.2,-9999,-9999,-9999
,2017-02-04 00:00,1.4,2.6,2.0,2.2,2.4,4.0,2.6,1.8,2.8,2.2,2.0,1.8,1.6,0.0,2.8,1.0,1.4,2.0,1.0,0.6,0.2,1.0,2.6,-9999,-9999,-9999
,2017-02-04 12:00,2.4,3.0,3.0,2.6,2.4,2.6,3.2,2.0,2.8,2.6,2.0,2.4,2.6,0.0,2.0,1.8,2.4,3.4,2.6,2.8,0.0,2.8,2.6,-9999,-9999,-9999
,2017-02-05 00:00,1.4,1.4,1.2,1.4,1.2,0.6,1.2,1.0,1.0,1.4,1.4,1.4,1.6,0.0,1.2,0.8,1.2,1.6,1.6,1.2,0.2,1.2,1.6,-9999,-9999,-9999
,2017-02-05 12:00,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.4,0.0,3.4,0.0,0.0,-9999,-9999,-9999
,2017-02-06 00:00,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,1.0,0.0,0.0,-9999,-9999,-9999
,2017-02-06 12:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,-9999,-9999,-9999
,2017-02-07 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,-9999,-9999,-9999
